timestamp,sensor_id,machine_id,temp_C,pressure_psi,vibration_Hz,battery_pct,status
2025-05-16T05:04:20.000-04:00,S56,M12,68.16,124.8,108.31,33,ALERT
2025-05-16T05:09:40.000-04:00,S22,M13,95.93,157.7,67.09,94,ALERT
2025-05-16T05:10:40.000-04:00,S97,M15,65.34,165.91,92.58,92,ALERT
2025-05-16T05:10:50.000-04:00,S93,M11,87.43,110.59,76.18,43,ALERT
2025-05-16T05:12:10.000-04:00,S27,M10,77.73,147.27,84.77,53,ALERT
2025-05-16T05:12:40.000-04:00,S71,M15,90.69,149.12,62.28,81,ALERT
2025-05-16T05:14:50.000-04:00,S84,M0,95.57,145.42,52.28,49,ALERT
2025-05-16T05:16:30.000-04:00,S73,M8,66.69,159.82,83.27,71,ALERT
2025-05-16T05:17:30.000-04:00,S81,M11,85.07,157.63,55.56,59,ALERT
2025-05-16T05:19:00.000-04:00,S4,M2,88.07,198.41,57.4,41,ALERT
2025-05-16T05:20:50.000-04:00,S26,M14,82.53,174.65,85.56,77,ALERT
2025-05-16T05:22:40.000-04:00,S11,M10,85.79,122.53,28.2,65,ALERT
2025-05-16T05:23:10.000-04:00,S79,M16,89.08,128.22,52.77,41,ALERT
2025-05-16T05:24:00.000-04:00,S28,M6,91.2,144.5,71.35,37,ALERT
2025-05-16T05:25:20.000-04:00,S55,M3,77.19,143.77,80.24,57,ALERT
2025-05-16T05:26:30.000-04:00,S4,M3,69.53,157.95,95.25,44,ALERT
2025-05-16T05:26:40.000-04:00,S35,M14,59.79,200.29,54.99,58,ALERT
2025-05-16T05:27:50.000-04:00,S14,M16,88.72,170.33,39.18,81,ALERT
2025-05-16T05:29:10.000-04:00,S62,M0,88.96,114.62,34.92,58,ALERT
2025-05-16T05:29:20.000-04:00,S11,M18,51.94,159.8,84.8,87,ALERT
2025-05-16T05:33:40.000-04:00,S26,M0,89.26,189.85,60.93,47,ALERT
2025-05-16T05:35:10.000-04:00,S23,M2,89.92,164.95,54.08,78,ALERT
2025-05-16T05:38:50.000-04:00,S80,M0,97.98,115.7,56.9,46,ALERT
2025-05-16T05:39:00.000-04:00,S72,M12,62.38,145.99,80.42,43,ALERT
2025-05-16T05:42:50.000-04:00,S88,M9,87.36,138.68,76.83,76,ALERT
2025-05-16T05:43:30.000-04:00,S72,M16,96.37,131.35,45.56,33,ALERT
2025-05-16T05:43:40.000-04:00,S58,M12,87.41,151.7,55.97,94,ALERT
2025-05-16T05:44:00.000-04:00,S65,M4,85.95,133.83,64.39,32,ALERT
2025-05-16T05:45:00.000-04:00,S67,M4,91.82,157.84,50.7,62,ALERT
2025-05-16T05:47:10.000-04:00,S32,M11,85.63,135.81,32.71,94,ALERT
2025-05-16T05:48:10.000-04:00,S40,M14,94.36,160.51,35.44,32,ALERT
2025-05-16T05:50:00.000-04:00,S26,M7,87.43,140.67,60.91,87,ALERT
2025-05-16T05:52:20.000-04:00,S62,M17,85.77,149.9,52.87,85,ALERT
2025-05-16T05:53:10.000-04:00,S59,M16,73.88,140.83,84.93,41,ALERT
2025-05-16T05:54:10.000-04:00,S63,M9,94.59,145.04,46.25,57,ALERT
2025-05-16T05:54:20.000-04:00,S90,M11,40.38,159.25,92.57,34,ALERT
2025-05-16T05:58:00.000-04:00,S93,M15,86.35,142.51,68.4,36,ALERT
2025-05-16T05:58:50.000-04:00,S91,M1,92.27,136.87,40.34,75,ALERT
2025-05-16T06:00:50.000-04:00,S64,M12,85.41,145.44,43.89,48,ALERT
2025-05-16T06:02:50.000-04:00,S5,M19,95.14,110.0,59.65,32,ALERT
2025-05-16T06:03:30.000-04:00,S24,M18,80.47,171.66,80.65,86,ALERT
2025-05-16T06:05:40.000-04:00,S64,M16,98.42,129.24,63.83,76,ALERT
2025-05-16T06:06:40.000-04:00,S14,M6,85.15,146.83,54.79,64,ALERT
2025-05-16T06:06:50.000-04:00,S77,M16,68.84,133.44,84.51,59,ALERT
2025-05-16T06:09:40.000-04:00,S74,M16,88.56,167.48,77.75,31,ALERT
2025-05-16T06:14:10.000-04:00,S70,M2,85.17,142.27,22.98,81,ALERT
2025-05-16T06:18:20.000-04:00,S53,M17,55.68,200.39,48.55,76,ALERT
2025-05-16T06:23:10.000-04:00,S85,M6,66.44,121.4,80.97,81,ALERT
