timestamp,sensor_id,machine_id,temp_C,pressure_psi,vibration_Hz,battery_pct,status
2025-07-17T14:59:30.000-04:00,S37,M5,87.14,132.67,44.31,89,ALERT
2025-07-17T15:00:20.000-04:00,S32,M8,90.66,162.47,36.09,91,ALERT
2025-07-17T15:02:20.000-04:00,S1,M18,71.99,168.03,87.37,98,ALERT
2025-07-17T15:02:50.000-04:00,S78,M2,86.89,181.13,30.42,84,ALERT
2025-07-17T15:03:30.000-04:00,S90,M6,85.19,159.68,53.81,66,ALERT
2025-07-17T15:05:40.000-04:00,S60,M12,87.0,156.66,40.16,52,ALERT
2025-07-17T15:06:20.000-04:00,S32,M6,96.71,165.78,51.03,77,ALERT
2025-07-17T15:09:30.000-04:00,S4,M0,57.18,147.14,95.02,44,ALERT
2025-07-17T15:11:20.000-04:00,S45,M16,75.8,129.8,89.87,58,ALERT
2025-07-17T15:12:30.000-04:00,S8,M19,86.24,164.19,41.79,81,ALERT
2025-07-17T15:14:20.000-04:00,S22,M2,89.78,125.99,30.37,71,ALERT
2025-07-17T15:16:20.000-04:00,S79,M9,87.25,154.5,43.49,37,ALERT
2025-07-17T15:17:40.000-04:00,S33,M15,85.33,199.23,59.91,33,ALERT
2025-07-17T15:18:10.000-04:00,S35,M5,79.62,207.88,56.63,30,ALERT
2025-07-17T15:19:30.000-04:00,S82,M1,85.8,135.82,49.3,67,ALERT
2025-07-17T15:21:40.000-04:00,S44,M13,88.84,142.61,59.38,57,ALERT
2025-07-17T15:23:00.000-04:00,S67,M15,93.53,168.15,52.43,79,ALERT
2025-07-17T15:23:50.000-04:00,S7,M6,88.16,140.94,29.21,49,ALERT
2025-07-17T15:29:00.000-04:00,S99,M11,49.77,210.95,66.15,62,ALERT
2025-07-17T15:30:10.000-04:00,S18,M11,93.7,148.15,46.75,69,ALERT
2025-07-17T15:30:20.000-04:00,S58,M6,78.88,143.38,88.52,81,ALERT
2025-07-17T15:30:40.000-04:00,S15,M9,91.12,151.23,46.2,59,ALERT
2025-07-17T15:32:10.000-04:00,S6,M3,85.18,131.04,67.79,48,ALERT
2025-07-17T15:33:10.000-04:00,S93,M10,97.39,159.94,79.53,32,ALERT
