timestamp,sensor_id,machine_id,temp_C,pressure_psi,vibration_Hz,battery_pct,status
2025-05-31T19:33:00.000-04:00,S23,M0,87.48,120.4,27.13,34,ALERT
2025-05-31T19:33:10.000-04:00,S87,M7,84.17,212.1,49.42,82,ALERT
2025-05-31T19:34:10.000-04:00,S38,M14,85.79,185.14,61.61,72,ALERT
2025-05-31T19:35:20.000-04:00,S94,M5,87.03,156.05,60.61,65,ALERT
2025-05-31T19:36:10.000-04:00,S59,M1,88.51,148.22,34.77,65,ALERT
2025-05-31T19:39:50.000-04:00,S14,M3,86.78,153.13,60.52,40,ALERT
2025-05-31T19:40:50.000-04:00,S65,M0,89.37,176.86,65.45,32,ALERT
2025-05-31T19:41:20.000-04:00,S10,M7,89.58,195.06,43.06,36,ALERT
2025-05-31T19:46:10.000-04:00,S27,M3,90.54,132.78,47.29,94,ALERT
2025-05-31T19:48:20.000-04:00,S61,M7,91.85,149.37,49.91,52,ALERT
2025-05-31T19:49:40.000-04:00,S9,M18,87.41,153.16,71.26,96,ALERT
2025-05-31T19:50:20.000-04:00,S31,M2,87.29,164.91,41.18,56,ALERT
2025-05-31T19:51:30.000-04:00,S73,M19,95.58,169.31,57.34,98,ALERT
2025-05-31T19:52:40.000-04:00,S42,M14,67.58,138.08,84.75,85,ALERT
2025-05-31T19:54:00.000-04:00,S47,M6,85.4,142.05,49.15,58,ALERT
2025-05-31T19:56:50.000-04:00,S85,M7,89.15,156.64,43.09,63,ALERT
2025-05-31T19:59:20.000-04:00,S74,M13,88.48,160.04,46.17,59,ALERT
2025-05-31T20:01:00.000-04:00,S64,M16,87.76,154.97,71.5,53,ALERT
2025-05-31T20:04:10.000-04:00,S20,M8,87.32,155.95,42.28,43,ALERT
2025-05-31T20:04:50.000-04:00,S8,M1,94.51,168.56,37.32,97,ALERT
2025-05-31T20:08:00.000-04:00,S82,M1,67.55,170.35,83.25,73,ALERT
2025-05-31T20:10:30.000-04:00,S61,M16,88.64,157.26,59.49,50,ALERT
2025-05-31T20:11:50.000-04:00,S91,M19,61.2,186.79,84.61,80,ALERT
2025-05-31T20:15:00.000-04:00,S97,M13,87.8,119.6,60.47,37,ALERT
2025-05-31T20:18:20.000-04:00,S91,M11,91.54,137.87,21.72,67,ALERT
2025-05-31T20:21:50.000-04:00,S87,M17,95.31,169.26,48.81,69,ALERT
2025-05-31T20:23:30.000-04:00,S46,M12,89.34,148.5,40.19,89,ALERT
2025-05-31T20:25:30.000-04:00,S56,M13,86.21,120.58,48.21,46,ALERT
2025-05-31T20:26:30.000-04:00,S99,M0,87.45,134.76,40.15,48,ALERT
2025-05-31T20:28:40.000-04:00,S66,M7,79.47,180.53,80.12,35,ALERT
2025-05-31T20:34:00.000-04:00,S98,M19,65.33,172.36,83.09,69,ALERT
2025-05-31T20:37:00.000-04:00,S73,M12,68.36,114.33,99.09,58,ALERT
2025-05-31T20:37:30.000-04:00,S53,M9,90.15,153.27,45.65,72,ALERT
2025-05-31T20:38:00.000-04:00,S91,M11,77.23,154.17,91.54,91,ALERT
2025-05-31T20:40:00.000-04:00,S15,M18,63.68,146.14,83.4,89,ALERT
2025-05-31T20:40:10.000-04:00,S68,M19,89.48,146.78,60.23,45,ALERT
2025-05-31T20:40:30.000-04:00,S18,M0,85.32,163.38,31.22,59,ALERT
2025-05-31T20:42:40.000-04:00,S11,M13,86.91,156.43,35.89,41,ALERT
2025-05-31T20:43:40.000-04:00,S22,M12,62.32,130.63,83.43,32,ALERT
2025-05-31T20:44:10.000-04:00,S30,M3,86.59,162.04,59.27,100,ALERT
2025-05-31T20:45:20.000-04:00,S51,M6,88.89,154.18,59.38,78,ALERT
2025-05-31T20:45:30.000-04:00,S86,M13,64.91,156.64,84.01,49,ALERT
2025-05-31T20:45:40.000-04:00,S11,M10,86.89,128.03,68.53,36,ALERT
2025-05-31T20:46:50.000-04:00,S71,M4,86.77,112.69,64.59,91,ALERT
2025-05-31T20:48:00.000-04:00,S23,M17,97.05,146.05,40.08,81,ALERT
2025-05-31T20:50:20.000-04:00,S12,M5,93.64,137.3,49.52,79,ALERT
2025-05-31T20:54:40.000-04:00,S48,M15,93.04,153.17,85.41,54,ALERT
2025-05-31T20:55:30.000-04:00,S16,M11,95.62,170.22,33.79,77,ALERT
2025-05-31T20:56:40.000-04:00,S66,M3,87.3,180.79,69.41,83,ALERT
2025-05-31T20:57:40.000-04:00,S88,M18,90.28,224.28,54.36,53,ALERT
2025-05-31T20:59:50.000-04:00,S23,M16,56.18,202.23,30.37,80,ALERT
2025-05-31T21:01:50.000-04:00,S52,M4,94.82,177.07,45.34,95,ALERT
2025-05-31T21:04:50.000-04:00,S30,M5,86.05,159.44,30.53,94,ALERT
2025-05-31T21:05:30.000-04:00,S41,M14,85.11,150.85,40.03,69,ALERT
2025-05-31T21:07:20.000-04:00,S80,M3,90.45,144.35,31.61,69,ALERT
2025-05-31T21:08:40.000-04:00,S15,M18,86.31,160.09,31.07,51,ALERT
2025-05-31T21:09:00.000-04:00,S27,M3,97.17,163.18,24.57,78,ALERT
2025-05-31T21:12:20.000-04:00,S53,M17,69.91,155.71,83.91,36,ALERT
2025-05-31T21:12:50.000-04:00,S79,M11,81.18,201.03,27.33,59,ALERT
2025-05-31T21:14:20.000-04:00,S53,M3,96.1,154.66,68.25,44,ALERT
2025-05-31T21:15:50.000-04:00,S98,M7,87.52,161.05,34.67,69,ALERT
2025-05-31T21:19:10.000-04:00,S21,M2,90.23,148.52,55.44,56,ALERT
2025-05-31T21:20:40.000-04:00,S32,M11,62.78,211.08,53.55,64,ALERT
2025-05-31T21:21:50.000-04:00,S31,M3,86.52,125.78,64.61,38,ALERT
2025-05-31T21:22:50.000-04:00,S79,M10,85.96,155.43,64.55,83,ALERT
2025-05-31T21:26:00.000-04:00,S40,M16,98.5,166.78,36.91,46,ALERT
2025-05-31T21:28:50.000-04:00,S15,M5,91.77,132.92,74.64,65,ALERT
2025-05-31T21:29:40.000-04:00,S78,M2,86.22,159.14,44.16,51,ALERT
2025-05-31T21:32:20.000-04:00,S40,M11,86.23,130.13,26.78,52,ALERT
2025-05-31T21:33:00.000-04:00,S7,M4,91.55,154.25,68.9,73,ALERT
2025-05-31T21:37:30.000-04:00,S34,M5,89.21,160.04,70.8,92,ALERT
2025-05-31T21:38:50.000-04:00,S22,M14,76.56,171.37,81.63,81,ALERT
2025-05-31T21:39:00.000-04:00,S71,M2,85.5,163.74,58.52,31,ALERT
2025-05-31T21:40:50.000-04:00,S4,M19,89.21,186.43,65.84,30,ALERT
2025-05-31T21:43:10.000-04:00,S87,M0,90.47,172.26,49.83,40,ALERT
2025-05-31T21:47:40.000-04:00,S39,M11,90.11,124.58,51.14,71,ALERT
2025-05-31T21:47:50.000-04:00,S46,M7,63.4,136.24,83.94,43,ALERT
2025-05-31T21:48:40.000-04:00,S81,M6,91.06,151.48,31.97,58,ALERT
2025-05-31T21:51:40.000-04:00,S51,M2,85.4,169.62,73.16,33,ALERT
